0,Duration,Method,Notes
20190128,0:24:26,1A,Bus crashed into fire hydrant
20190204,0:20:25,5C,
20190205,0:16:17,51,
20190207,0:22:08,51,icy sidewalks
20190208,0:16:30,5C,
20190211,0:19:00,5C,
20190213,0:23:42,1A,icy sidewalks
20190214,0:22:13,52,
20190220,0:16:12,51,
20190221,0:16:28,5C,instant bus
20190222,0:19:58,51,
20190225,0:23:00,51,windy day
20190227,0:23:30,51,lots of snow
20190304,0:20:19,51,
20190305,0:22:28,10,fuck
20190306,0:16:32,51,
20190307,0:22:14,10,
20190308,0:21:00,1A,delayed at initial crosswalk
20190309,0:26:21,52,Saturday class
20190311,0:24:12,52,
20190312,0:25:20,10,late for 9am meeting
20190313,0:23:36,52,fuck
20190314,0:23:38,51,
20190319,0:17:18,51,
20190320,0:19:35,5C,
20190321,0:20:47,5C,
20190322,0:16:19,1A,
20190325,0:20:58,51,missed three buses
20190326,0:19:51,1A,
20190327,0:22:35,10,stopped briefly to text mom
20190328,0:20:18,1A,"passed up a crowded 52 in the rain because fuck that. also, construction on King"
20190329,0:22:24,10,
20190401,0:18:13,1A,
20190403,0:19:58,10,
20190404,0:20:26,52 + Sobi,possibly inaccurate
20190405,0:18:37,1A,
20190410,0:26:25,52,back after Sonya's fall
20190412,,5C,
20190415,0:20:56,1A,
20190416,0:16:04,1A,
